"lab_id","age","error","c14_taxon","species_tr","bioregion","latitude","longitude"
"Lus-319570",1715,30,"Pinus","Pinus","Atlantic",60.4983291727356,10.7647938028821
"T-286226",197,40,"Betula, Pinus","Betula","Boreal",61.7033512903779,9.16879466834757
"Tua-12315",269,85,"Betula, Pinus","Pinus","Boreal",62.7488263953478,10.6088541798811
"Tua-307415",648,47,"Pinus, Salix, Tilia, Ulmus","Salix","Boreal",61.3436532554049,9.4007746923517
"Lus-347545",47,35,"Pinus, Salix, Tilia, Ulmus","Ulmus","Boreal",59.5523920464976,9.53877918584994
"T-121538",271,80,"Pinus, Salix, Tilia, Ulmus","Tilia","Boreal",58.574445032293,7.18703392651467
"T-320792",1421,70,"Pinus, Salix, Tilia, Ulmus","Pinus","Boreal",61.6545542221136,6.10090857621305
"Tra-160857",2018,60,"Tilia","Tilia","Boreal",59.1076175654388,11.7209985649313
"T-62384",751,60,"Betula","Betula","Boreal",59.883283798586,10.2856253216213
"Beta-201084",728,40,"Betula","Betula","Boreal",60.2650181424119,8.38836869286722
"Tua-33603",1127,40,"Betula, Corylus","Corylus","Atlantic",58.6432102529251,6.0073366190791
"Beta-39373",1325,31,"Betula, Corylus","Betula","Atlantic",60.2394411576866,12.6218330077899
"T-151706",1082,40,"Betula","Betula","Boreal",59.3568686956857,6.63180837180418
"Tua-38058",1474,40,"Hazel nutshell","Corylus","Boreal",58.9993846625556,12.2860002559065
"T-120036",621,60,"Pinus","Pinus","Alpine",60.3984059761928,11.6562416731664
"T-275099",50,35,"Corylus","Corylus","Boreal",64.2399781546686,11.6800270050191
"Ua-332806",702,62,"Fraxinus","Fraxinus","Boreal",63.660249502558,10.4227627966562
"T-241944",2340,55,"Pinus","Pinus","Boreal",62.9282924357381,7.32885047319997
"Ua-189549",416,30,"Quercus","Quercus","Boreal",62.7923531891764,9.07693701128242
"Beta-105764",826,43,"Corylus, Betula","Corylus","Atlantic",64.7787066861352,11.9770932210302
"T-384562",2178,80,"Corylus, Betula","Betula","Atlantic",62.3788467399421,10.3087417969643
"T-391237",883,50,"Betula, Picea","Picea","Boreal",58.9317903465093,8.96792538677179
"T-432275",116,23,"Betula, Picea","Betula","Boreal",59.7976516636123,10.8935854217087
"Tra-207887",130,70,"Fraxinus","Fraxinus","Boreal",62.5250967393887,12.157482837423
"Tra-223735",957,35,"Betula, Corylus","Betula","Boreal",62.1618663112136,12.5654098997093
"Beta-366454",510,55,"Betula, Corylus","Corylus","Boreal",58.2832649357697,7.58186924884375
"Tua-424176",2080,51,"Betula","Betula","Boreal",61.1140034549417,9.88168114105147
"T-11970",2135,80,"Pinus","Pinus","Alpine",61.464256542566,11.8832445495459
"Beta-66730",2506,30,"Betula","Betula","Atlantic",60.0502840821583,12.8911971826716
"T-405554",1256,59,"Corylus","Corylus","Boreal",58.558305502231,12.3676450667027
"Tua-60971",526,75,"Betula","Betula","Boreal",58.4250310438522,12.0056544526555
"Beta-61436",2921,25,"Betula","Betula","Alpine",63.6019297540958,11.884174173567
"T-123767",854,60,"Pinus","Pinus","Alpine",62.3622433587846,11.8282780152939
"T-290211",695,60,"Pinus, Juniper","Juniper","Boreal",60.6966076239305,12.1772050178361
"UBA-70319",1107,82,"Pinus, Juniper","Pinus","Boreal",58.7816196994013,7.55156472094357
"T-264059",172,76," Pinus","Pinus","Boreal",59.6609079799314,9.51333560422459
"Beta-206096",711,49,"Hazel nutshell","Corylus","Boreal",60.505200831994,12.1297782888978
